mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
The Stranger in Us,https://en.wikipedia.org/wiki/The_Stranger_in_Us,Scott Boswell,Cheryl Simas Valenzuela,Scott Boswell,Raphael Barker;Adam Perez;Scott Cox,True Margrit,Spenser Nottage;Laura Valladao,Matt Hale,Breaking Glass Pictures;TLA-UK;GM Films;Optimale;Bounty Films;Mi2N,"June 17, 2010 (2010-06-17)",106 minutes,United States,English,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/The_Stranger_in_Us_Movie_Poster.jpg/220px-The_Stranger_in_Us_Movie_Poster.jpg,"The Stranger in Us is a 2010 American dramatic feature film written and directed by Scott Boswell. The film premiered at Frameline Film Festival [1] and went on to screen at U.S. and international film festivals, winning audience awards at Reeling Chicago and Pikes Peak Lavender Film Festivals.[2] The film was later licensed for global distribution and online viewing.[3][4][5][6]"
Stranger Inside,https://en.wikipedia.org/wiki/Stranger_Inside,Cheryl Dunye,Effie Brown;Jim McKay;Michael Stipe,Catherine Crouch;Cheryl Dunye,Yolonda Ross,Mychael Danna;Andrew Lockington,Nancy Schreiber,Cecily Rhett,Home Box Office,"June 23, 2001 (2001-06-23) (U.S.)",97 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/9/9f/StrangerInside.jpg,"Stranger Inside is a television drama film directed by Cheryl Dunye that premiered on cable television in 2001. The story primarily concerns African-American lesbians in prison. Michael Stipe, the lead singer of R.E.M., helped to produce it. In a 2004 issue of Feminist Studies, Dunye stated that she worked with actual female inmates to produce the script.[1]"
Strangers on a Train,https://en.wikipedia.org/wiki/Strangers_on_a_Train_(film),Alfred Hitchcock,Alfred Hitchcock,NA,Farley Granger;Ruth Roman;Robert Walker,Dimitri Tiomkin,Robert Burks,William H. Ziegler,Warner Bros.,"June 30, 1951 (1951-06-30)",101 minutes,NA,English,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Strangers_on_a_Train_%28film%29.jpg/220px-Strangers_on_a_Train_%28film%29.jpg,"Strangers on a Train is a 1951 American psychological thriller film noir produced and directed by Alfred Hitchcock, and based on the 1950 novel of the same name by Patricia Highsmith. It was shot in the autumn of 1950 and released by Warner Bros. on June 30 the next year. The film stars Farley Granger, Ruth Roman and Robert Walker, and features Leo G. Carroll, the director's daughter Pat Hitchcock and Laura Elliott. The film is number 32 on AFI's 100 Years... 100 Thrills."
Strangers with Candy,https://en.wikipedia.org/wiki/Strangers_with_Candy_(film),Paul Dinello,Lorena David;Valerie Schaer Nathanson;Mark Roberts,Stephen Colbert;Paul Dinello;Amy Sedaris;Mitch Rouse,Amy Sedaris;Stephen Colbert;Paul Dinello;Dan Hedaya;Joseph Cross;Deborah Rush;Maria Thayer;Carlo Alban,Marcelo Zarvos,Oliver Bokelberg,Michael R. Miller,THINKFilm,"January 2005 (2005-01) (Sundance);June 28, 2006 (2006-06-28) (United States)",97 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Poster-strangerscandy.jpg/220px-Poster-strangerscandy.jpg,"Strangers with Candy is a 2005 comedy film directed by Paul Dinello, written by Dinello, Stephen Colbert, Amy Sedaris, and Mitch Rouse, and serves as a prequel to their 1999-2000 Comedy Central television series of the same name. Colbert co-produced the film alongside executive producer David Letterman. The film grossed $2.3 million."
Strawberry and Chocolate,https://en.wikipedia.org/wiki/Strawberry_and_Chocolate,Tomás Gutiérrez Alea;Juan Carlos Tabío,Camilo Vives;Frank Cabrera;Georgina Balzaretti,Story:;Senel Paz;Screenplay:,Jorge Perugorría;Vladimir Cruz;Mirta Ibarra;Francisco Gattorno,NA,NA,NA,Miramax Films (USA),1994 (1994),108 minutes,Cuba;Mexico,Spanish,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Fresa_y_Chocolate_%28US_cover%29.jpg/220px-Fresa_y_Chocolate_%28US_cover%29.jpg,"Strawberry and Chocolate (Spanish: Fresa y chocolate) is an internationally co-produced film, directed by Tomás Gutiérrez Alea and Juan Carlos Tabío, based on the short story ""The Wolf, The Forest and the New Man"" (in Spanish, El Lobo, el bosque y el hombre nuevo) written by Senel Paz in 1990. Senel Paz also wrote the screenplay for the film."
Streamers,https://en.wikipedia.org/wiki/Streamers_(film),Robert Altman,Robert Altman;Nick J. Mileti,David Rabe,NA,NA,Pierre Mignot,Norman Smith,United Artists Classics,"September 5, 1983 (1983-09-05)",118 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Streamers_%28film%29.jpg/220px-Streamers_%28film%29.jpg,"Streamers is a 1983 film adapted by David Rabe from his play of the same title. The film was directed by Robert Altman and produced by Robert Michael Geisler and John Roberdeau (The Thin Red Line). The cast included David Alan Grier as Roger, Mitchell Lichtenstein as Richie, Matthew Modine as Billy, Michael Wright as Carlyle, George Dzundza as Cokes, and Guy Boyd as Rooney."
Strella,https://en.wikipedia.org/wiki/Strella_(2009_film),Panos H. Koutras,Panos H. Koutras,"Panos H. Koutras, Panayiotis Evangelidis",Mina Orfanou;Yiannis Kokiasmenos;Minos Theoharis;Betty Vakalidou;Akis Ioannou,Mikael Delta,Olympia Mitilinaiou,Yiannis Chalkiadakis,Memento Films,25 November 2009 (2009-11-25) (France),113 minutes,Greece,Greek,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Strella_poster.jpg/220px-Strella_poster.jpg,Strella (Greek: Στρέλλα; international title: A Woman's Way) is a 2009 Greek drama film written and directed by Panos H. Koutras. The plot centres around the relationship between a 45-year-old ex-convinct and a 25-year-old transgender woman.
The String,https://en.wikipedia.org/wiki/The_String,Mehdi Ben Attia,NA,Mehdi Ben Attia and Olivier Laneurie,Claudia Cardinale,"original by Karol Beffa,",NA,NA,NA,"August 29, 2009 (2009-08-29) (Angoulême);May 12, 2010 (2010-05-12) (France)",93 min,France,Arabic;French,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/The_String.jpg/220px-The_String.jpg,"The String (French: Le Fil) is a 2010 French film with French and Arabic dialogue, directed by Mehdi Ben Attia and made in Belgium and Tunisia. It stars Claudia Cardinale[1], Antonin Stahly and Salim Kechiouche. Notably, much of the film was shot in Tunisia, the country of birth of the film's director, Mehdi Ben Attia as well as that of Claudia Cardinale."
Struck by Lightning,https://en.wikipedia.org/wiki/Struck_by_Lightning_(2012_film),Brian Dannelly,David Permut;Mia Chang;Rob Aguire;Chris Colfer,Chris Colfer,Chris Colfer;Allison Janney;Christina Hendricks;Sarah Hyland;Carter Jenkins;Brad William Henke;Rebel Wilson;Angela Kinsey;Polly Bergen;Dermot Mulroney,Jake Monaco,Bobby Bukowski,Tia Nolan,Tribeca Film,"April 2012 (2012-04) (Tribeca);December 19, 2012 (2012-12-19) (VOD);January 11, 2013 (2013-01-11)",90 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Struck_By_Lightning_-_Theatrical_Poster.jpeg/215px-Struck_By_Lightning_-_Theatrical_Poster.jpeg,"Struck by Lightning is a 2012 coming-of-age comedy-drama film written by and starring Chris Colfer, also based on his novel, and directed by Brian Dannelly."
Stuck,https://en.wikipedia.org/wiki/Stuck_(2001_film),Jamie Babbit,Laurie Hansen;Andrea Sperling,Kelly Souders,Jennie Ventriss;Jeanette Miller;Eden Sher,Ethan Gold,M. David Mullen,Jim Rhoads,NA,"December 9, 2001 (2001-12-09)",7 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Stuck1.jpg/220px-Stuck1.jpg,"Stuck is an 2001 short film directed by Jamie Babbit. It tells the story of an elderly lesbian couple traveling across the desert, who are on the verge of ending their unhappy relationship. It was the first film produced by production company POWER UP and won three film festival awards.[1]"
Such Good People,https://en.wikipedia.org/wiki/Such_Good_People,Stewart Wade,David Avallone;David Michael Barrett;Stewart Wade,NA,Michael Urie;Randy Harrison;James Urbaniak;Scott Wolf;Ana Ortiz;Carrie Wiita;Rick Overton;Kate Reinders;Lance Bass;Tom Lenk;Mitch Silpa;Alec Mapa;Drew Droege;Tania Gunadi;Kee Chan;Forrest Wheeler,Jonathan Dinerstein,Pierluigi Malavasi,David Avallone,Breaking Glass Entertainment,"May 9, 2014 (2014-05-09) (MiFo);April 14, 2015 (2015-04-14)",96 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Such_Good_People.jpg/220px-Such_Good_People.jpg,David AvalloneDavid Michael Barrett
"Suddenly, Last Summer","https://en.wikipedia.org/wiki/Suddenly,_Last_Summer",NA,NA,Tennessee Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/SuddenlyLastsummer.JPG/220px-SuddenlyLastsummer.JPG,"Suddenly Last Summer is a one-act play by Tennessee Williams. It opened off Broadway on January 7, 1958, as part of a double bill with another of Williams' one-acts, Something Unspoken (written in 1958). The presentation of the two plays was given the overall title Garden District, but Suddenly Last Summer is now more often performed alone.[1] Williams said he thought the play ""perhaps the most poetic"" he had written,[2] and Harold Bloom ranks it among the best examples of the playwright's lyricism.[3]"
"Suddenly, Last Winter","https://en.wikipedia.org/wiki/Suddenly,_Last_Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ArgentinaAustraliaAustria*BelgiumBrazilCanadaColombiaDenmarkFinlandFranceGermanyIcelandIrelandLuxembourgMaltaMexico:
· 12 states & CDMXNetherlands1New Zealand2NorwayPortugalSouth AfricaSpainSwedenUnited Kingdom3United States4Uruguay"
Suffering Man's Charity,https://en.wikipedia.org/wiki/Suffering_Man%27s_Charity,Alan Cumming,NA,Thomas Gallagher,Alan Cumming;David Boreanaz,Paul Cantelon,Alex Vendler,NA,NA,2007 (2007),93 minutes,United States,NA,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Poster_of_the_movie_Suffering_Man%27s_Charity.jpg/220px-Poster_of_the_movie_Suffering_Man%27s_Charity.jpg,"Suffering Man's Charity, later released as Ghost Writer, is a 2007 comedy/horror film directed by Alan Cumming and written by playwright Thomas Gallagher."
Sugar,https://en.wikipedia.org/wiki/Sugar_(2004_film),John Palmer,NA,John Palmer;Todd Klinck;Jaie Laplante,Andre Noble;Brendan Fehr,NA,NA,NA,NA,2004,NA,Canada,NA,NA,"Sugar is a Canadian romantic drama film, released in 2004. The film was directed by John Palmer, and written by Palmer, Todd Klinck and Jaie Laplante based on short stories by Bruce LaBruce."
Suicide Room,https://en.wikipedia.org/wiki/Suicide_Room,Jan Komasa,Jerzy Kapuściński,NA,NA,NA,Radosław Ładczuk,Bartosz Pietras,NA,12 February 2011 (2011-02-12);28 February 2011 (2011-02-28) (Poland),110 minutes,Poland,Polish,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Suicide_room%2C_official_poster.jpg/220px-Suicide_room%2C_official_poster.jpg,"Suicide Room (Polish: Sala Samobójców) is a 2011 Polish dramatic film directed by Jan Komasa. The premiere was held on 12 February 2011 at The Berlin International Film Festival[2] and on 28 February 2011 in Złote Tarasy in Warsaw, Poland. The movie was released in the cinemas on 4 March 2011. The film went on to receive several awards, including those for best actor (Jakub Gierszał), best actress (Roma Gąsiorowska), best screenplay (Jan Komasa) and best film."
The Sum of Us,https://en.wikipedia.org/wiki/The_Sum_of_Us_(film),Geoff Burton;Kevin Dowling,NA,David Stevens,Jack Thompson;Russell Crowe;John Polson;Deborah Kennedy,Brad Fiedel,Russell Carpenter,Frans Vandenburg,The Samuel Goldwyn Company;Australian Film Commission,12 July 1994 (1994-07-12) (Australia); () (UK &amp; US),100 min.,Australia,English,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/The_Sum_of_Us_FilmPoster.jpeg/220px-The_Sum_of_Us_FilmPoster.jpeg,"The Sum of Us is a 1994 Australian comedy-drama film version of the play The Sum of Us. Directed by Kevin Dowling and Geoff Burton, the film starred Russell Crowe and Jack Thompson. The screen adaptation mimics the play's device of breaking the fourth wall with direct to camera conversational asides by both Harry and Jeff."
A Summer Dress,https://en.wikipedia.org/wiki/A_Summer_Dress,François Ozon,Olivier Delbosc,François Ozon,NA,Sonny Bono,Yorick Le Saux,Jeanne Moutard,NA,1996 (1996),15 minutes,France,French,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/ASummerDress1996Poster.jpg/220px-ASummerDress1996Poster.jpg,A Summer Dress (French: Une robe d'été) is a 1996 short film directed by François Ozon about a lagging gay relationship that is refueled in an unexpected way.
The Summer of Sangailė,https://en.wikipedia.org/wiki/The_Summer_of_Sangail%C4%97,Alantė Kavaitė,Živilė Gallego;Antoine Simkine,Alantė Kavaitė,Julija Steponaityte;Aistė Diržiūtė,Jean-Benoît Dunckel,Dominique Colin,Joëlle Hache,Fralita Films;Les Films d'Antoine;Viking Film,22 January 2015 (2015-01-22) (Sundance);29 July 2015 (2015-07-29) (France);21 August 2015 (2015-08-21) (Lithuania),88 minutes,Lithuania;France;Netherlands,Lithuanian,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Sangail%C4%97s_vasara_poster.jpg/220px-Sangail%C4%97s_vasara_poster.jpg,"The Summer of Sangailė (Lithuanian: Sangailės vasara) is a 2015 Lithuanian-language drama film written and directed by Alantė Kavaitė. It was screened in the Panorama section of the 65th Berlin International Film Festival.[1] The film won the directing award in the dramatic world cinema category at the 2015 Sundance Film Festival.[2] It also won Best Film, Best Actress (Julija Steponaityte) and best set design (Ramunas Rastauskas) at the Silver Crane Awards.[3] The film was selected as the Lithuanian entry for the Best Foreign Language Film at the 88th Academy Awards but it was not nominated.[4]"
Summer Storm,https://en.wikipedia.org/wiki/Summer_Storm_(2004_film),Marco Kreuzpaintner,Jakob Claussen,Thomas Bahmann;Marco Kreuzpaintner,Robert Stadlober;Kostja Ullmann;Alicja Bachleda-Curuś;Miriam Morgenstern,Niki Reiser,Daniel Gottschalk,Hansjörg Weißbrich,X Verleih AG,2 September 2004 (2004-09-02),98 minutes[1],Germany,German,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Summer_storm_2004.jpg/220px-Summer_storm_2004.jpg,"Summer Storm (German: Sommersturm) is a 2004 German coming-of-age comedy-drama film directed by Marco Kreuzpaintner, starring Robert Stadlober, Kostja Ullmann, Alicja Bachleda-Curuś, and Miriam Morgenstern. The story is set to the background of a rowing regatta, which climaxes into a summer storm."
Summer Things,https://en.wikipedia.org/wiki/Summer_Things,Michel Blanc,Yves Marmion,Michel Blanc,Charlotte Rampling;Jacques Dutronc;Carole Bouquet,Mark Russell,Sean Bobbitt,Maryline Monthieux,UGC Fox Distribution (France),9 October 2002 (2002-10-09),103 minutes[1],France;United Kingdom;Italy,French,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Embrassez_qui_vous_voudrez_poster.jpg/220px-Embrassez_qui_vous_voudrez_poster.jpg,Summer Things (French: Embrassez qui vous voudrez; Italian: Baciate chi vi pare) is a 2002 French-Italian-British romantic comedy-drama film written and directed by Michel Blanc based on the 1998 novel of the same name by Joseph Connolly.
Summer Vacation 1999,https://en.wikipedia.org/wiki/Summer_Vacation_1999,Shusuke Kaneko,NA,NA,NA,Yuriko Nakamura,Kenji Takama,NA,Shochiku,"March 26, 1988 (1988-03-26)",90 min.,Japan,Japanese,https://upload.wikimedia.org/wikipedia/en/6/63/1999_Summer_Vacation_film.jpg,"Summer Vacation 1999 (1999年の夏休み, Sen-kyūhyaku-kyūjūkyū-nen no natsu yasumi) is a 1988 Japanese romantic drama film directed by Shusuke Kaneko and based on the shōjo manga Thomas no Shinzō written by Moto Hagio, about four boys at a boarding school. Although the manga concerns homoerotic relationships among the boys, director Kaneko used girls, aged 14 to 16, to portray the boys in the film.[1][2][3]"
Summertime,https://en.wikipedia.org/wiki/Summertime_(2015_film),Catherine Corsini,Elisabeth Perez,Catherine Corsini;Laurette Polmanss,Cécile de France;Izïa Higelin;Noémie Lvovsky,Grégoire Hetzel,Jeanne Lapoirie,Frédéric Baillehaiche,Pyramide Distribution,6 August 2015 (2015-08-06) (Locarno);19 August 2015 (2015-08-19);[1],105 minutes,France;Belgium,French,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/La_Belle_saison_poster.jpg/220px-La_Belle_saison_poster.jpg,"Summertime (original title: La Belle Saison) is a 2015 French-Belgian romantic drama film directed by Catherine Corsini, co-written with Laurette Polmanss. The film stars Cécile de France, Izïa Higelin and Noémie Lvovsky.[4] It premiered at the Locarno International Film Festival, where it won the Variety Piazza Grande Award.[5][6]"
Sunday Bloody Sunday,https://en.wikipedia.org/wiki/Sunday_Bloody_Sunday_(film),John Schlesinger,Joseph Janni;Edward Joseph,Penelope Gilliatt,Murray Head;Glenda Jackson;Peter Finch;Peggy Ashcroft,Ron Geesin,Billy Williams,Richard Marden,United Artists,1 July 1971 (1971-07-01),110 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Sundaybloodysunday.jpg/220px-Sundaybloodysunday.jpg,"Sunday Bloody Sunday is a 1971 British drama film written by Penelope Gilliatt, directed by John Schlesinger and starring Murray Head, Glenda Jackson, Peter Finch and Peggy Ashcroft. It tells the story of a free-spirited young bisexual artist (played by Head) and his simultaneous relationships with a female recruitment consultant (Jackson) and a male Jewish doctor (Finch)."
Super 8½,https://en.wikipedia.org/wiki/Super_8%C2%BD,Bruce La Bruce,NA,Bruce La Bruce,Bruce La Bruce;Stacy Friedrich;Mikey Mike;Nicholas Davies;Christeen Martin,NA,NA,NA,NA,1994 (1994),100 minutes,Canada;Germany,English,NA,Super 8​1⁄2 is a 1994 satirical drama film written and directed by Bruce La Bruce.[1] The film is about a failing pornographic film director who enters into a partnership with a lesbian filmmaker. It becomes clear that she has her own agenda and is exploiting him to help her succeed in her own project.
Supertwink,https://en.wikipedia.org/wiki/Supertwink,Richard Christy;Sal Governale,Howard TV,Richard Christy;Sal Governale,"JD Harmeyer;High Pitch Eric;Richard Christy;Sal Governale;Joey Boots;Artie Lange;Benjy Bronk;Steve ""Wood-Yi"" Freid",NA,NA,NA,Howard TV,"January 4, 2006",30 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/8/81/Supertwink.png,"Supertwink is a 2006 American comedy film directed, written, and filmed by Richard Christy and Sal Governale. Produced and made for subscribers of Howard TV, an In Demand digital cable service operated by Howard Stern, the film stars members of Stern's radio show staff and ""Wack Packers"". The film premièred at the Pioneer Theater, in New York City, on January 4, 2006."
Supervoksen,https://en.wikipedia.org/wiki/Supervoksen,Christina Rosendahl,Thomas Heinesen,Mette Heeno,Emma Leth;Cathrine Bjørn;Amalie Lindegård,Vagn Luv,NA,NA,NA,2006 (2006),NA,Denmark,Danish,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Supervoksen.jpg/220px-Supervoksen.jpg,Supervoksen (English: Triple Dare) is a Danish comedy-drama from 2006.[1] It is the first feature film from director Christina Rosendahl.[2]
Surprise Surprise,https://en.wikipedia.org/wiki/Surprise_Surprise_(film),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Surprise Surprise is a 2009 drama written by Travis Michael Holder and Jerry Turner, and directed by Jerry Turner."
Switch,https://en.wikipedia.org/wiki/Switch_(1991_film),Blake Edwards,Tony Adams;Executive Producer:;Arnon Milchan;Patrick Wachsberger;Associate Producer:;Trish Caroselli,Blake Edwards,Ellen Barkin;Jimmy Smits;JoBeth Williams;Lorraine Bracco,Henry Mancini;Don Grady,Dick Bush,Robert Pergament,Warner Bros.;(Time Warner),"May 10, 1991 (1991-05-10)",103 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Switch_poster.jpg/220px-Switch_poster.jpg,"Switch is a 1991 comedy film written and directed by Blake Edwards, based on George Axelrod's play Goodbye Charlie (and a 1964 film by the same title). The movie stars Ellen Barkin, Jimmy Smits, JoBeth Williams and Lorraine Bracco."
Swoon,https://en.wikipedia.org/wiki/Swoon_(film),Tom Kalin,Christine Vachon,Tom Kalin;Hilton Als,Daniel Schlachet;Craig Chester,James Bennett,Ellen Kuras,Tom Kalin,Fine Line Features,"January 1992 (1992-01) (U.S.);September 11, 1992 (1992-09-11) (U.S. general)",82 mins,United States,English,https://upload.wikimedia.org/wikipedia/en/3/35/SwoonFilm.jpg,"Swoon is an independent film written and directed by Tom Kalin, released in 1992. It is an account of the 1924 Leopold and Loeb murder case, focusing more on the homosexuality of the killers than other movies based on the case. It starred Daniel Schlachet as Loeb and Craig Chester as Leopold."
Sylvia Scarlett,https://en.wikipedia.org/wiki/Sylvia_Scarlett,George Cukor,Pandro S. Berman,NA,Katharine Hepburn;Cary Grant;Edmund Gwenn;Brian Aherne;Natalie Paley,Roy Webb,Joseph H. August,Jane Loring,RKO Radio Pictures,"December 25, 1935",90 min,NA,English,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Poster_of_the_movie_Sylvia_Scarlett.jpg/220px-Poster_of_the_movie_Sylvia_Scarlett.jpg,"Sylvia Scarlett is a 1935 romantic comedy film starring Katharine Hepburn and Cary Grant, based on The Early Life and Adventures of Sylvia Scarlett, a novel by Compton MacKenzie. Directed by George Cukor, it was notorious as one of the most famous unsuccessful movies of the 1930s. Hepburn plays the title role of Sylvia Scarlett, a female con artist masquerading as a boy to escape the police. The success of the subterfuge is in large part due to the transformation of Hepburn by RKO make-up artist Mel Berns."
Taboo,https://en.wikipedia.org/wiki/Taboo_(1999_film),Gohatto (御法度),Nagisa Oshima,Masayuki Motomochi,Shinsengumi Keppūroku;by Ryōtarō Shiba,Ryuhei Matsuda;Takeshi Kitano;Tadanobu Asano,Ryuichi Sakamoto,Toyomichi Kurita,Tomoyo Oshima,Shochiku;New Yorker Films (USA),"December 18, 1999 (1999-12-18)",100 minutes,Japan,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Gohatto-1999-poster.jpg/220px-Gohatto-1999-poster.jpg,"Gohatto (御法度) or Taboo is a 1999 Japanese film directed by Nagisa Oshima. It is about homosexuality in the Shinsengumi during the bakumatsu period, the end of the samurai era in the mid-19th century."
Take a Deep Breath,https://en.wikipedia.org/wiki/Take_a_Deep_Breath_(film),Dragan Marinković,Danica Milojković,Hajdana Baletić,Mira Furlan;Bogdan Diklić;Ana Franić;Jelena Đokić;Nikola Đuričko,Vladan Marković,NA,NA,NA,"November 9, 2004 (SRB)",80 min.,Serbia and Montenegro,Serbian,https://upload.wikimedia.org/wikipedia/en/2/23/Disi_duboko.jpg,"Take a Deep Breath (Serbian: Диши дубоко, Diši duboko) is a 2004 Serbian film, directed by Dragan Marinković and written by Hajdana Baletić. This drama was promoted as the ""first Serbian LGBT feature film"", even though the writer herself stresses that it is more about the generation gap in the modern family.[1] The premiere was held on November 8, 2004 in Belgrade's Sava Center."
Taking Woodstock,https://en.wikipedia.org/wiki/Taking_Woodstock,Ang Lee,James Schamus;Ang Lee;Celia Costas,NA,Demetri Martin;Dan Fogler;Henry Goodman;Jonathan Groff;Eugene Levy;Jeffrey Dean Morgan;Imelda Staunton;Emile Hirsch;Liev Schrieber,Danny Elfman,Eric Gautier,Tim Squyres,Focus Features,"August 28, 2009 (2009-08-28)",120 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Taking_woodstock.jpg/220px-Taking_woodstock.jpg,"Taking Woodstock is a 2009 American comedy-drama film about the Woodstock Festival of 1969, directed by Ang Lee. The screenplay by James Schamus is based on the memoir Taking Woodstock: A True Story of a Riot, a Concert, and a Life by Elliot Tiber and Tom Monte.[3]"
The Talented Mr. Ripley,https://en.wikipedia.org/wiki/The_Talented_Mr._Ripley_(film),Anthony Minghella,William Horberg;Tom Sternberg,NA,Matt Damon;Gwyneth Paltrow;Jude Law;Cate Blanchett;Philip Seymour Hoffman;Jack Davenport;James Rebhorn;Sergio Rubini;Philip Baker Hall,Gabriel Yared,John Seale,Walter Murch,Paramount Pictures;Miramax Films,"December 12, 1999 (1999-12-12) (Fox Bruin Theater);December 25, 1999 (1999-12-25) (United States)",139 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Talented_mr_ripley.jpg/220px-Talented_mr_ripley.jpg,"The Talented Mr. Ripley is a 1999 American psychological thriller film written for the screen and directed by Anthony Minghella. An adaptation of Patricia Highsmith's 1955 novel of the same name, the film stars Matt Damon as Tom Ripley, Jude Law as Dickie Greenleaf, Gwyneth Paltrow as Marge Sherwood and Cate Blanchett as Meredith Logue."
Tamanna,https://en.wikipedia.org/wiki/Tamanna_(1997_film),Mahesh Bhatt,Pooja Bhatt,Mahesh Bhatt;Tanuja Chandra,Paresh Rawal;Pooja Bhatt;Sharad Kapoor;Manoj Bajpayee,Anu Malik,Bhushan Patel,Sanjay Sankla,Spark Films,7 March 1997 (1997-03-07),127 minutes,India,Hindi,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Tamannahindifilm.png/220px-Tamannahindifilm.png,"Tamanna (Hindi: तमन्ना, translation: Desire) is a 1997 Indian drama film directed by Mahesh Bhatt. It stars Paresh Rawal, Pooja Bhatt, Sharad Kapoor and Manoj Bajpayee in the lead roles The screenplay was written by Tanuja Chandra. The story was written by Tanuja Chandra and Mahesh Bhatt. It was produced by Pooja Bhatt."
Tammy,https://en.wikipedia.org/wiki/Tammy_(2014_film),Ben Falcone,Melissa McCarthy;Will Ferrell;Adam McKay,Ben Falcone;Melissa McCarthy,Melissa McCarthy;Susan Sarandon;Allison Janney;Gary Cole;Mark Duplass;Dan Aykroyd;Kathy Bates,Michael Andrews,Russ T. Alsobrook,Michael L Sale,Warner Bros. Pictures,"July 2, 2014 (2014-07-02)",97 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Tammy_poster.jpg/220px-Tammy_poster.jpg,"Tammy is a 2014 American comedy film directed and co-written by Ben Falcone and produced, co-written by, and starring Melissa McCarthy as the title character. The film also stars Susan Sarandon, Allison Janney, Gary Cole, Mark Duplass, Dan Aykroyd, and Kathy Bates and was released on July 2, 2014.[4][5]"
Tan de repente,https://en.wikipedia.org/wiki/Tan_de_repente,Diego Lerman,Sebastián Ariel;Diego Lerman;Nicolás Martínez Zemborain;Lita Stantic,Diego Lerman;María Meira;(Story);César Aira,Tatiana Saphir;Carla Crespo,Juan Ignacio Bouscayrol;Murciélago,Diego del Piano;Luciano Zito,Benjamín Ávila;Alberto Ponce;Roli Rauwolf,Alfa Films,"April 26, 2002 (2002-04-26) (Argentina);January 25, 2003 (2003-01-25) (Netherlands)",90 minutes,Argentina;Netherlands,Spanish,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/TanRepentePoster.jpg/220px-TanRepentePoster.jpg,"Tan de repente (Suddenly) is a 2002 Argentine and Dutch black-and-white comedy drama film directed by Diego Lerman and written by Lerman, María Meira, and Eloisa Solaas, based on the novel La prueba, written by César Aira. The drama features Tatiana Saphir, Carla Crespo, Veronica Hassan, among others.[1]"
Tarnation,https://en.wikipedia.org/wiki/Tarnation_(2003_film),Jonathan Caouette,Jonathan Caouette;Stephen Winter,Jonathan Caouette,Jonathan Caouette,John Califra;Max Avery Lichtenstein,Jonathan Caouette,Jonathan Caouette;Brian A. Kates,Wellspring Media,"October 8, 2004 (2004-10-08)",91 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/9/9b/TarnationPOSTER11.jpg,"Tarnation is a 2003 American documentary film by Jonathan Caouette. The film was created by Caouette from over 20 years of hundreds of hours of old Super 8 footage, VHS videotape, photographs, and answering machine messages to tell the story of his life and his relationship with his mentally ill mother Renee."
